Year;Month;Number_of_hours;Mean
1959;1;517176;25.1240964155925
1959;2;517920;25.3530053789949
1959;3;518592;25.7244453774143
1959;4;519336;25.5098619191689
1959;5;520056;24.9410965913009
1959;6;520800;24.3075998666083
1959;7;521520;23.3177080364881
1959;8;522264;23.0844968683913
1959;9;523008;23.6011168511627
1959;10;523728;23.9815509687093
1959;11;524472;24.1664565496645
1959;12;525192;24.5287694713863
1960;1;525936;24.974935402915
1960;2;526680;25.1355213675147
1960;3;527376;25.2324108789072
1960;4;528120;25.2232582497955
1960;5;528840;24.9954249910702
1960;6;529584;24.2270981905163
1960;7;530304;23.4038119258599
1960;8;531048;23.4801669788691
1960;9;531792;23.653388021825
1960;10;532512;24.0813882179236
1960;11;533256;24.3820321594991
1960;12;533976;24.7044022654823
1961;1;534720;24.9763307725428
1961;2;535464;25.0529855586752
1961;3;536136;25.58491143747
1961;4;536880;25.2976861501272
1961;5;537600;25.2344124216997
1961;6;538344;24.2681565273554
1961;7;539064;23.1709078118182
1961;8;539808;22.9966747326773
1961;9;540552;23.3247195527823
1961;10;541272;23.7111056352281
1961;11;542016;23.8302012335408
1961;12;542736;24.1943067444878
1962;1;543480;24.615954024776
1962;2;544224;25.1838577970342
1962;3;544896;25.1252963399534
1962;4;545640;25.0864630468742
1962;5;546360;24.8282068761462
1962;6;547104;23.9523609488772
1962;7;547824;23.5843370389966
1962;8;548568;23.232552373114
1962;9;549312;23.5323213452431
1962;10;550032;23.9131114017775
1962;11;550776;24.0234329812393
1962;12;551496;24.2971800550255
1963;1;552240;24.4302865001172
1963;2;552984;25.0776287129906
1963;3;553656;25.2783151531407
1963;4;554400;25.1883633347093
1963;5;555120;24.9755092695154
1963;6;555864;24.765349732362
1963;7;556584;23.9990868678335
1963;8;557328;23.9389926437635
1963;9;558072;24.1160818782292
1963;10;558792;24.2884723968804
1963;11;559536;24.0824899945647
1963;12;560256;24.4001907156928
1964;1;561000;25.0194175743111
1964;2;561744;25.4471158646228
1964;3;562440;25.757238854411
1964;4;563184;25.4078043493766
1964;5;563904;25.217150089271
1964;6;564648;24.3456619113156
1964;7;565368;23.649546469061
1964;8;566112;23.0226024980049
1964;9;566856;23.0457946436097
1964;10;567576;23.2984170029711
1964;11;568320;23.7613376193382
1964;12;569040;23.7113405190638
1965;1;569784;24.2067822265277
1965;2;570528;24.7743114032295
1965;3;571200;25.2020109215686
1965;4;571944;25.1065259900087
1965;5;572664;25.2978137232703
1965;6;573408;24.3185180211131
1965;7;574128;23.797196960936
1965;8;574872;23.400128694153
1965;9;575616;23.5902339788267
1965;10;576336;23.9125194926222
1965;11;577080;23.9829860602969
1965;12;577800;24.0966326181187
1966;1;578544;24.8871980955478
1966;2;579288;25.2036963890286
1966;3;579960;25.6324534277944
1966;4;580704;25.7171352143288
1966;5;581424;25.4762590304905
1966;6;582168;24.9119018482869
1966;7;582888;24.3890812723212
1966;8;583632;23.5529671290237
1966;9;584376;23.5086834257309
1966;10;585096;24.0165604681883
1966;11;585840;24.2394251757173
1966;12;586560;24.5726899619912
1967;1;587304;24.7593780245625
1967;2;588048;25.2141430755163
1967;3;588720;25.2885987481575
1967;4;589464;25.1179192493804
1967;5;590184;24.8332255875344
1967;6;590928;23.9202875209607
1967;7;591648;22.9431711893944
1967;8;592392;22.9170081623764
