Year;Month;Number_of_hours;Mean
1967;9;593136;23.316056812097
1967;10;593856;23.5743641348849
1967;11;594600;23.8903309759386
1967;12;595320;24.226710558978
1968;1;596064;24.4496659515994
1968;2;596808;24.919945001971
1968;3;597504;24.7268929241118
1968;4;598248;24.9214627020099
1968;5;598968;24.58183394768
1968;6;599712;24.1632878141617
1968;7;600432;23.7614836601225
1968;8;601176;23.605299323196
1968;9;601920;23.8490714787826
1968;10;602640;24.36342891573
1968;11;603384;24.3818275984912
1968;12;604104;24.4208486380508
1969;1;604848;24.8423447765182
1969;2;605592;25.6125931091632
1969;3;606264;25.8101698535842
1969;4;607008;25.9602700237501
1969;5;607728;25.4333603058254
1969;6;608472;24.3467339319107
1969;7;609192;23.2120746873772
1969;8;609936;23.2570670568817
1969;9;610680;23.5946221926635
1969;10;611400;23.9978893995271
1969;11;612144;24.1726567177724
1969;12;612864;24.5392127099512
1970;1;613608;24.8226277119941
1970;2;614352;25.5700006356123
1970;3;615024;25.5602383854132
1970;4;615768;25.5009081832468
1970;5;616488;25.0821982970122
1970;6;617232;24.1582229572863
1970;7;617952;23.3416437998508
1970;8;618696;23.2441700308577
1970;9;619440;23.5966952916617
1970;10;620160;24.0997242240611
1970;11;620904;24.422336251421
1970;12;621624;24.5217939457381
1971;1;622368;24.657500785855
1971;2;623112;25.0606602097077
1971;3;623784;25.4514834381548
1971;4;624528;25.2097350715474
1971;5;625248;24.9916392663162
1971;6;625992;24.252968569184
1971;7;626712;23.1043809446273
1971;8;627456;22.8486341532093
1971;9;628200;23.423133471132
1971;10;628920;23.7866480175601
1971;11;629664;23.8853428235373
1971;12;630384;24.0164887230554
1972;1;631128;24.4976202757034
1972;2;631872;24.9281777914082
1972;3;632568;25.1969385076023
1972;4;633312;25.1810781100242
1972;5;634032;25.0204623421467
1972;6;634776;23.9833553658894
1972;7;635496;23.4941195888154
1972;8;636240;23.2597192652123
1972;9;636984;23.6695048409482
1972;10;637704;24.1750432471213
1972;11;638448;24.4114044469206
1972;12;639168;25.0787251052043
1973;1;639912;25.4357465045515
1973;2;640656;26.0076239369714
1973;3;641328;26.17168493542
1973;4;642072;25.8009631440398
1973;5;642792;25.3624013464379
1973;6;643536;24.5813968171954
1973;7;644256;23.8430090858906
1973;8;645000;23.6430159616112
1973;9;645744;24.0104747427778
1973;10;646464;24.4066444714367
1973;11;647208;24.41033072598
1973;12;647928;24.3894597881184
1974;1;648672;24.4527962876334
1974;2;649416;25.0786280910481
1974;3;650088;25.1703311236314
1974;4;650832;25.1637613193083
1974;5;651552;24.6505498679846
1974;6;652296;24.3645739094854
1974;7;653016;23.350754534339
1974;8;653760;23.3528530912877
1974;9;654504;23.5235405250104
1974;10;655224;23.9159315664563
1974;11;655968;24.0939728054652
1974;12;656688;24.2524679591347
1975;1;657432;24.7395886481235
1975;2;658176;24.9720296069484
1975;3;658848;25.2585842024617
1975;4;659592;25.1933065696508
1975;5;660312;24.8455557844991
1975;6;661056;24.2138130134039
1975;7;661776;23.1330075360909
1975;8;662520;22.9452345114061
1975;9;663264;23.193422653139
1975;10;663984;23.7633623529538
1975;11;664728;24.107821174787
1975;12;665448;24.2499251869287
1976;1;666192;24.5014203116985
1976;2;666936;24.5562443149443
1976;3;667632;25.1094425075982
1976;4;668376;25.0103319671505
1976;5;669096;24.6747695418111
1976;6;669840;23.7192940739873
1976;7;670560;22.8250051605109
1976;8;671304;22.6983460948676
1976;9;672048;23.4242812987966
1976;10;672768;23.8509307121045
1976;11;673512;23.8812700237876
1976;12;674232;24.1764288869944
1977;1;674976;24.5984712614482
1977;2;675720;25.1180446970916
1977;3;676392;25.3540195878436
1977;4;677136;25.3204048912105
1977;5;677856;24.9673294741791
1977;6;678600;24.0529970298458
1977;7;679320;23.3409122262068
1977;8;680064;23.3395149200744
1977;9;680808;23.8986294648361
1977;10;681528;24.2284077871609
1977;11;682272;24.198092185851
1977;12;682992;24.4287305423049
1978;1;683736;24.8027372122307
1978;2;684480;25.2995516652811
1978;3;685152;25.2403420459485
1978;4;685896;25.120574338852
1978;5;686616;24.9006452305674
1978;6;687360;23.9360525574963
1978;7;688080;23.1726783437841
1978;8;688824;23.0851097484742
1978;9;689568;23.4678455670228
1978;10;690288;23.8744900851018
1978;11;691032;24.1183277512213
1978;12;691752;24.4859948719414
1979;1;692496;24.8607492215614
1979;2;693240;25.2440872458019
1979;3;693912;25.5077886784752
1979;4;694656;25.4794014106383
1979;5;695376;25.185880641377
1979;6;696120;24.2741860941331
1979;7;696840;23.6261365375389
1979;8;697584;23.524401608302
1979;9;698328;23.9693293104646
1979;10;699048;24.3194301147692
1979;11;699792;24.4860456461467
1979;12;700512;24.6329103894814
1980;1;701256;24.9923272922231
1980;2;702000;25.3158651576985
1980;3;702696;25.6026877465527
1980;4;703440;25.7016872449939
1980;5;704160;25.0766558319834
1980;6;704904;24.2005294894053
1980;7;705624;23.39062314889
1980;8;706368;23.3744530995068
1980;9;707112;23.9148484463837
1980;10;707832;24.2637573557366
1980;11;708576;24.2344274352567
1980;12;709296;24.4470276766554
1981;1;710040;24.7907751872949
1981;2;710784;25.4882601633724
1981;3;711456;25.4471138808864
1981;4;712200;25.597919363805
1981;5;712920;25.0530543754355
1981;6;713664;24.4232576025137
1981;7;714384;23.3350443811771
1981;8;715128;23.3884741955906
1981;9;715872;23.8384879144834
1981;10;716592;24.4632520898622
1981;11;717336;24.6439857787115
1981;12;718056;24.8495152751151
1982;1;718800;24.9834721763391
1982;2;719544;25.4364194162764
1982;3;720216;25.7978608637063
1982;4;720960;25.4537053173827
1982;5;721680;25.0015195960627
1982;6;722424;23.9895911940206
1982;7;723144;23.1229313832229
1982;8;723888;23.0468231164678
1982;9;724632;23.6286865362132
1982;10;725352;23.8384025665866
1982;11;726096;24.2018793275595
1982;12;726816;24.5169906114444
1983;1;727560;25.3483039237347
1983;2;728304;26.1187844007699
1983;3;728976;26.3809306785719
1983;4;729720;26.1449996189478
1983;5;730440;25.468773542893
1983;6;731184;24.135972283529
1983;7;731904;23.3967876097428
1983;8;732648;23.3314338392397
1983;9;733392;23.7946330288751
1983;10;734112;23.9897663768372
1983;11;734856;24.3189381953746
1983;12;735576;24.4894976780998
1984;1;736320;24.8472442747954
1984;2;737064;25.4366959113446
1984;3;737760;25.7772526764537
1984;4;738504;25.6240089453445
1984;5;739224;25.2676804840134
1984;6;739968;24.5516679767725
1984;7;740688;23.7189827690685
1984;8;741432;23.8569990562057
1984;9;742176;24.1215097116334
1984;10;742896;24.4187340222837
1984;11;743640;24.3618867968406
1984;12;744360;24.5891029718512
1985;1;745104;24.9933811285679
1985;2;745848;25.3400622074836
1985;3;746520;25.6903116975543
1985;4;747264;25.2547387766886
1985;5;747984;24.9415936117319
1985;6;748728;24.0823872653585
1985;7;749448;23.4774588480649
1985;8;750192;23.4852129902487
1985;9;750936;23.6730393396571
1985;10;751656;24.1648143937826
1985;11;752400;24.4523610464216
1985;12;753120;24.6328384081893
1986;1;753864;24.987712412887
1986;2;754608;25.3702448039913
1986;3;755280;25.2941520765047
1986;4;756024;25.6181749182972
1986;5;756744;25.2906625897193
1986;6;757488;24.3673389546315
1986;7;758208;23.4396380634889
1986;8;758952;23.5174256575675
1986;9;759696;23.9552624939801
1986;10;760416;24.2334206418035
1986;11;761160;24.228509241108
1986;12;761880;24.5133977814391
1987;1;762624;25.0610555400325
1987;2;763368;25.5473568514257
1987;3;764040;25.9770235277931
1987;4;764784;26.0151226494782
1987;5;765504;25.5898635519935
1987;6;766248;24.8747133560715
1987;7;766968;24.3916902635374
1987;8;767712;24.1376875070349
1987;9;768456;24.4485570901854
1987;10;769176;24.8021882367988
1987;11;769920;25.075056090275
1987;12;770640;25.3940222935287
1988;1;771384;25.3971515432308
1988;2;772128;26.0890041248962
1988;3;772824;26.2136424716285
1988;4;773568;25.9695540517822
1988;5;774288;25.7707076216037
1988;6;775032;24.8556737375268
1988;7;775752;24.0552015749961
1988;8;776496;24.0470673583651
1988;9;777240;24.1059225501281
1988;10;777960;24.5162107668814
1988;11;778704;24.6273596116525
1988;12;779424;24.6814772630456
1989;1;780168;25.0312399347582
1989;2;780912;25.4943587358377
1989;3;781584;25.6358792460878
1989;4;782328;25.5693009906779
1989;5;783048;25.1504412378817
1989;6;783792;24.6222591892175
1989;7;784512;23.6976849027953
1989;8;785256;23.6328353319597
1989;9;786000;23.9803386696118
1989;10;786720;24.2797702176262
1989;11;787464;24.7500821885757
1989;12;788184;24.7390837399787
1990;1;788928;25.0637832720416
1990;2;789672;25.4597628453973
1990;3;790344;25.7288336857147
1990;4;791088;25.8564445669738
1990;5;791808;25.3940969198026
1990;6;792552;24.5765853590289
1990;7;793272;23.5049177744999
1990;8;794016;23.4848892161297
1990;9;794760;23.9661069196155
1990;10;795480;24.5259687662169
1990;11;796224;24.8060552947451
1990;12;796944;24.9282612972642
1991;1;797688;25.2155133178164
1991;2;798432;25.8585936619688
1991;3;799104;26.1070500804334
1991;4;799848;25.7094512113961
1991;5;800568;25.591204463334
1991;6;801312;24.9841101837497
1991;7;802032;23.8669246812666
1991;8;802776;23.7095836370937
1991;9;803520;23.9315354480255
1991;10;804240;23.7763936118074
1991;11;804984;24.177901527878
1991;12;805704;24.6909785574449
1992;1;806448;25.1734992451206
1992;2;807192;25.7594304580429
1992;3;807888;26.1144117262016
1992;4;808632;25.7154996236697
1992;5;809352;24.9685787557908
1992;6;810096;23.9067371844167
1992;7;810816;22.9534690956525
1992;8;811560;23.0864548162148
1992;9;812304;23.5262400123917
1992;10;813024;23.9656112689072
1992;11;813768;24.1742208466894
1992;12;814488;24.5395165050109
1993;1;815232;24.876825515784
1993;2;815976;25.3692053261195
1993;3;816648;25.5779868749545
1993;4;817392;25.7309382411043
1993;5;818112;25.460008167465
1993;6;818856;24.4098066889485
1993;7;819576;23.6260160964005
1993;8;820320;23.6329847262031
1993;9;821064;24.2131452971792
1993;10;821784;24.7761183509278
1993;11;822528;24.9372240072317
1993;12;823248;25.124521549195
1994;1;823992;25.3148519407179
1994;2;824736;25.6872201388437
1994;3;825408;25.9581068536731
1994;4;826152;25.8008907376613
1994;5;826872;25.3428195066114
1994;6;827616;24.1986092798051
1994;7;828336;23.2077158989636
1994;8;829080;23.49641642494
1994;9;829824;23.9695757188642
1994;10;830544;24.2663472652979
1994;11;831288;24.4988475000556
1994;12;832008;24.9416466530646
1995;1;832752;25.4106917249338
1995;2;833496;25.6038072351259
1995;3;834168;25.9968654732465
1995;4;834912;25.9611640276196
1995;5;835632;25.5625762187567
1995;6;836376;24.9018437852056
1995;7;837096;24.0411086393158
1995;8;837840;23.8984050192323
1995;9;838584;24.2290034748617
1995;10;839304;24.4068480405765
1995;11;840048;24.76070405788
1995;12;840768;24.8840869828641
1996;1;841512;25.2061650072788
1996;2;842256;25.6554217418091
1996;3;842952;25.8123331653567
1996;4;843696;25.7799976008449
1996;5;844416;25.4519448457942
1996;6;845160;25.0260952088769
1996;7;845880;23.9215771385458
1996;8;846624;23.6848146099807
1996;9;847368;23.9453851398382
1996;10;848088;24.3250970828727
1996;11;848832;24.430062196209
1996;12;849552;24.6594311975281
1997;1;850296;25.0843858387078
1997;2;851040;25.6859612691727
1997;3;851712;25.9020964815985
1997;4;852456;25.3605555269526
1997;5;853176;25.0768312981909
1997;6;853920;23.990897956756
1997;7;854640;23.4959519944641
1997;8;855384;23.817492756938
1997;9;856128;24.3544447625166
1997;10;856848;24.8024419188985
1997;11;857592;24.7708290956806
1997;12;858312;25.1218176692545
1998;1;859056;25.7674397937446
1998;2;859800;26.753076745453
1998;3;860472;26.8157183232154
1998;4;861216;26.7112882046927
1998;5;861936;26.1584973864774
1998;6;862680;25.1674858316249
1998;7;863400;24.2030667827203
1998;8;864144;23.9731907478244
1998;9;864888;24.2416231556448
1998;10;865608;24.7035078837583
1998;11;866352;24.9882554843416
1998;12;867072;25.0895492211575
1999;1;867816;25.2097418729293
1999;2;868560;25.8411160941411
1999;3;869232;25.7513461182127
1999;4;869976;25.664037345139
1999;5;870696;25.2957711832589
1999;6;871440;24.8982044790904
1999;7;872160;23.9744234038359
1999;8;872904;23.7750223776391
1999;9;873648;23.9191741252922
1999;10;874368;24.2593932773593
1999;11;875112;24.5810966589859
1999;12;875832;24.8365777714221
2000;1;876576;25.1630823146788
2000;2;877320;25.4439503881155
2000;3;878016;25.9095045562448
2000;4;878760;25.6774568023127
2000;5;879480;25.50889418643
2000;6;880224;24.3957353382094
2000;7;880944;23.4969723434493
2000;8;881688;23.4593567811268
2000;9;882432;23.7167494597404
2000;10;883152;24.2897484589334
2000;11;883896;24.5522456219185
2000;12;884616;24.6681235525639
2001;1;885360;24.7411182978126
2001;2;886104;25.5267380370138
2001;3;886776;25.7312245131591
2001;4;887520;25.6060324205812
2001;5;888240;25.5095798035142
2001;6;888984;24.3352465395238
2001;7;889704;23.4872415024098
2001;8;890448;23.4486451241345
2001;9;891192;23.8464238991703
2001;10;891912;24.5611585495489
2001;11;892656;24.5767766006638
2001;12;893376;24.9143051921633
2002;1;894120;25.1356195152346
2002;2;894864;25.8948864972011
2002;3;895536;25.8666794187536
2002;4;896280;25.7415796171499
2002;5;897000;25.7438558602014
2002;6;897744;24.7760910037047
2002;7;898464;24.0163122177479
2002;8;899208;23.6829675624681
2002;9;899952;23.9827577416839
2002;10;900672;24.3278452190277
2002;11;901416;24.6595673668622
2002;12;902136;25.0989358839321
2003;1;902880;25.5904662300035
2003;2;903624;26.1773430711734
2003;3;904296;26.1709645084852
2003;4;905040;25.9231827965546
2003;5;905760;25.5657441985504
2003;6;906504;24.4300036287534
2003;7;907224;24.0064834179158
2003;8;907968;23.9647454624337
2003;9;908712;24.3698481450142
2003;10;909432;24.9181849554689
2003;11;910176;24.9716756989288
2003;12;910896;25.230501627089
2004;1;911640;25.7215743440664
2004;2;912384;25.9407027785558
2004;3;913080;26.3297484374959
2004;4;913824;25.7164540842674
2004;5;914544;25.5035730024731
2004;6;915288;24.3117322729136
2004;7;916008;23.8019676580428
2004;8;916752;23.7473107609725
2004;9;917496;24.3011072863092
2004;10;918216;24.6884481599755
2004;11;918960;24.8444584948808
2004;12;919680;25.2731302329815
2005;1;920424;25.9423984480886
2005;2;921168;26.6240265217426
2005;3;921840;26.3867375000914
2005;4;922584;26.2391357986853
2005;5;923304;25.3856410072526
2005;6;924048;24.2134340725204
2005;7;924768;23.6846067427454
2005;8;925512;23.741184085575
2005;9;926256;24.3322575683239
2005;10;926976;24.692960640728
2005;11;927720;25.0492498996493
2005;12;928440;25.296721912543
2006;1;929184;25.5353201529842
2006;2;929928;26.0132589291335
2006;3;930600;26.1287207002219
2006;4;931344;25.8247804972323
2006;5;932064;25.4131732847025
2006;6;932808;25.0511001589256
2006;7;933528;24.1758780695216
2006;8;934272;23.8054781629877
2006;9;935016;24.1752291043289
2006;10;935736;24.8516877970922
2006;11;936480;24.7078570841127
2006;12;937200;25.0755306755919
2007;1;937944;25.9009497402658
2007;2;938688;26.1226388005887
2007;3;939360;26.237730132521
2007;4;940104;26.0434117223634
2007;5;940824;25.7737280491949
2007;6;941568;24.8032898717445
2007;7;942288;24.0639166957687
2007;8;943032;23.7598346556268
2007;9;943776;24.2440827053858
2007;10;944496;24.5151660462777
2007;11;945240;24.8044173424951
2007;12;945960;25.0201437635277
2008;1;946704;25.2825733377798
2008;2;947448;25.7850805475069
2008;3;948144;25.8018199292359
2008;4;948888;25.6823369355441
2008;5;949608;25.5166805407143
2008;6;950352;24.6961347606581
2008;7;951072;24.0609656044877
2008;8;951816;23.9959408508356
2008;9;952560;24.478157129438
2008;10;953280;24.8384915102631
2008;11;954024;25.0892127416791
2008;12;954744;25.3228641575606
2009;1;955488;25.4555406041724
2009;2;956232;25.7940648896476
2009;3;956904;26.2467958078539
2009;4;957648;25.9814985064813
2009;5;958368;25.7256183796384
2009;6;959112;24.8985931024969
2009;7;959832;23.8773172400898
2009;8;960576;23.7725170130337
2009;9;961320;24.3624310490906
2009;10;962040;24.6779606179642
2009;11;962784;24.90008676154
2009;12;963504;25.2067062366924
2010;1;964248;25.796352657263
2010;2;964992;26.5322733289676
2010;3;965664;26.5437514166862
2010;4;966408;26.5343579525295
2010;5;967128;26.0783013474859
2010;6;967872;25.0245262150826
2010;7;968592;24.057153713306
2010;8;969336;24.1003630344127
2010;9;970080;24.4467018243363
2010;10;970800;25.0927517746427
2010;11;971544;25.1766024228587
2010;12;972264;25.2603534591685
2011;1;973008;25.4392759494558
2011;2;973752;25.8256247187646
2011;3;974424;26.1698417609165
2011;4;975168;26.1112910254586
2011;5;975888;25.8796134272919
2011;6;976632;24.6571344558671
2011;7;977352;23.9878765372966
2011;8;978096;23.8667860558779
2011;9;978840;24.3462375254933
2011;10;979560;24.6429080902981
2011;11;980304;24.7230672412389
2011;12;981024;24.8753248191999
2012;1;981768;25.3605208115656
2012;2;982512;25.4723628305119
2012;3;983208;26.0980717839655
2012;4;983952;25.823692087196
2012;5;984672;25.4049216970013
2012;6;985416;24.6614140365202
2012;7;986136;23.8639091657845
2012;8;986880;23.8290713539674
2012;9;987624;24.2260609797718
2012;10;988344;24.7401537768374
2012;11;989088;25.0374650884983
2012;12;989808;25.1351403484312
2013;1;990552;25.8153829239075
2013;2;991296;26.1394585236418
2013;3;991968;26.2751385833174
2013;4;992712;25.9514545825941
2013;5;993432;25.683461714081
2013;6;994176;24.7450699479467
2013;7;994896;23.8834580850331
2013;8;995640;23.697634364749
2013;9;996384;24.1482840128525
2013;10;997104;24.6078850825188
2013;11;997848;24.7672541665347
2013;12;998568;25.0295563093392
2014;1;999312;25.5588552015947
2014;2;1000056;25.9532022071277
2014;3;1000728;26.0237126059305
2014;4;1001472;25.9674265889603
2014;5;1002192;25.8695421865331
2014;6;1002936;25.0058028607978
2014;7;1003656;23.8685597051439
2014;8;1004400;23.6254296189044
2014;9;1005144;24.1085793871769
2014;10;1005864;24.7445569631608
2014;11;1006608;24.7827137548969
2014;12;1007328;25.0231804860965
2015;1;1008072;25.4682948011759
2015;2;1008816;26.0170978369156
2015;3;1009488;26.214299041144
2015;4;1010232;25.881768993046
2015;5;1010952;25.8008512990925
2015;6;1011696;24.560355986481
2015;7;1012416;24.1049513694664
2015;8;1013160;23.9997132562166
2015;9;1013904;24.4160294338659
2015;10;1014624;24.9539724102382
2015;11;1015368;25.0589306749607
2015;12;1016088;25.3950220494408
2016;1;1016832;26.1347319882858
2016;2;1017576;26.6874767554776
2016;3;1018272;26.8975835346893
2016;4;1019016;26.5236457287555
2016;5;1019736;25.9231697605725
2016;6;1020480;25.0680603494083
2016;7;1021200;24.3896500378852
2016;8;1021944;24.2543900107759
2016;9;1022688;24.6016661161469
2016;10;1023408;25.2589830279411
2016;11;1024152;25.3664413200734
2016;12;1024872;25.6141450522709
2017;1;1025616;25.9843916443204
2017;2;1026360;26.1227223536765
2017;3;1027032;26.4612539600836
2017;4;1027776;26.3874478194169
2017;5;1028496;25.984971745521
2017;6;1029240;25.2179612012982
2017;7;1029960;24.1147303869613
2017;8;1030704;24.1127574194193
2017;9;1031448;24.5313619314658
2017;10;1032168;25.0198311833498
2017;11;1032912;25.0084175198322
2017;12;1033632;25.4615974237097
2018;1;1034376;25.4583574626239
2018;2;1035120;26.150169944475
2018;3;1035792;26.0327488558402
2018;4;1036536;25.7443530695598
2018;5;1037256;25.590999382776
2018;6;1038000;24.9617518214452
2018;7;1038720;24.2427390545998
2018;8;1039464;24.1673325582109
2018;9;1040208;24.723040885884
2018;10;1040928;25.2035553075853
2018;11;1041672;25.5219518951022
2018;12;1042392;25.4081022404588
2019;1;1043136;25.9815711490189
2019;2;1043880;26.6157230262723
2019;3;1044552;26.8188069063215
2019;4;1045296;26.7031550743935
2019;5;1046016;26.0922600503368
2019;6;1046760;25.1304191975024
2019;7;1047480;24.3225683857488
2019;8;1048224;24.2194810678394
2019;9;1048968;24.7467800231842
2019;10;1049688;24.92392404656
2019;11;1050432;25.4948432870685
2019;12;1051152;25.6374134772634
2020;1;1051896;26.2975265599724
2020;2;1052640;26.7231286076947
2020;3;1053336;26.7537411554504
2020;4;1054080;26.5597020270384
2020;5;1054800;26.2270828997299
2020;6;1055544;25.0185810515653
2020;7;1056264;24.2121614111582
2020;8;1057008;24.1740808043461
2020;9;1057752;24.383921148867
2020;10;1058472;25.0143094530895
2020;11;1059216;25.2341548665909
2020;12;1059936;25.4640933419513
2021;1;1060680;25.6437993136516
2021;2;1061424;26.3954546518322
2021;3;1062096;26.2321045867226
2021;4;1062840;26.283691651719
2021;5;1063560;26.010738450346
2021;6;1064304;25.5188016272406
2021;7;1065024;24.8175597378187
2021;8;1065768;24.6878861485615
2021;9;1066512;24.891714307614
2021;10;1067232;25.4323230006171
2021;11;1067976;25.6670487042211
2021;12;1068696;25.7885708844651
