Year;January;February;March;April;May;June;July;August;September;October;November;December
1959;25.0878123850227;25.3132153695914;25.7045030171136;25.5041363168338;24.9089616512692;24.252101741526;23.264244379662;23.0293705603312;23.5410600135205;23.9204116917841;24.1187356566106;24.4704387645427
1960;24.9199840105674;25.1052662929665;25.2150064927113;25.2084727034645;24.9778810185624;24.1808272573009;23.3511449411538;23.4268259505033;23.6014614887163;24.038172383712;24.3485156056998;24.6879390921732
1961;24.9464059787038;25.0046677710661;25.5541311157785;25.2889211948996;25.2111476531015;24.2308359407717;23.1419215419097;22.9483212883022;23.2887287031423;23.6864803915443;23.7990108109946;24.1558076670171
1962;24.5737508765941;25.1399774046149;25.1112021925326;25.0649596358683;24.812595792539;23.9257335369865;23.5477041460686;23.1876434492041;23.486154082613;23.8748713012561;24.0023612592866;24.2744099403814
1963;24.4114654411144;25.0667252508389;25.2459758263702;25.1736647258701;24.9579158843816;24.7327887173488;23.9605422882054;23.8850718676213;24.055031292888;24.2447665993229;24.0765521047476;24.4030455550414
1964;25.0000657632151;25.4217607671847;25.7288309462692;25.3733854495914;25.1824590055425;24.2995069745615;23.599393467953;22.988166702258;22.9962198088264;23.2551943966938;23.7162701512415;23.6911587032131
1965;24.1939010247916;24.7641324038901;25.182930265088;25.079933343994;25.2808586826845;24.2755161828724;23.7433543013364;23.3578961596363;23.5351191057529;23.8607612839441;23.938615852742;24.0602673879087
1966;24.8601927216122;25.1757440659831;25.5946660735741;25.6812203362553;25.4441576071348;24.8590045156284;24.3310649144058;23.4973896365699;23.4538043990447;23.9729335151949;24.2095357747975;24.5667495330566
1967;24.7280198101651;25.1817953577689;25.2578790183751;25.1057319742713;24.813717344654;23.8885541556261;22.9137192170083;22.875378299355;23.2522744116373;23.5146246087459;23.8397005344316;24.187843625443
1968;24.4338272236541;24.905922975909;24.7254460017679;24.9224435668231;24.5728077060298;24.1151398900891;23.6985097250794;23.5558108363212;23.7912860470022;24.3152063018647;24.3486708192291;24.4165119573859
1969;24.8340239323123;25.5904154948865;25.807486786589;25.9511803530245;25.4114032364556;24.3040455044765;23.173410262709;23.2084096920385;23.5398430205574;23.9363365510229;24.1227048395216;24.4957818113523
1970;24.7836902043494;25.5399366105144;25.5335570575867;25.4910930057229;25.05926083189;24.1015773954234;23.2830910562262;23.1859555224322;23.5479118439208;24.0305612611047;24.3547068421079;24.457069105993
1971;24.6150894675027;25.0310302108238;25.428267113116;25.1937965965153;24.9918177846764;24.2275510899137;23.0914797508024;22.8124576173735;23.3767593673371;23.73262583796;23.8397003715632;23.9581478385692
1972;24.4796445310794;24.9148808975474;25.1894000470767;25.1650740316242;24.991006333883;23.9333924207348;23.4458100879475;23.2261976836673;23.6106278818315;24.1195931584274;24.3701457836505;25.0401553982487
1973;25.4020440479414;25.9855111263789;26.1548716847547;25.7880696636595;25.3398425111208;24.5365770734744;23.7902582663346;23.6065446096474;23.9602178951867;24.3684581418983;24.3777906200045;24.3653747591784
1974;24.4252958134845;25.0598054229062;25.1633386287309;25.147721590657;24.6461971578175;24.354662012597;23.345368530411;23.3391762353587;23.4874924124903;23.8817642559126;24.0700802054704;24.2280039046195
1975;24.7039959154856;24.9696946856908;25.261787084941;25.1914124075844;24.836037229313;24.1898050081599;23.1062168926625;22.9292681353984;23.1548067892954;23.7162670160259;24.0898359316814;24.2128659844886
1976;24.4828558468814;24.5602841892301;25.1030128465966;25.0098238977312;24.6623398534628;23.6849366439715;22.8078136709246;22.6737450534192;23.3769995574234;23.8016087646233;23.8538040370099;24.161084438406
1977;24.5797263938842;25.098768945511;25.3290819626812;25.3049779774948;24.9450329171527;24.0143933208665;23.3122991723597;23.2978428562371;23.854226436053;24.1765751720811;24.168404311702;24.4070728005161
1978;24.7785231247884;25.2691884331247;25.2291700529905;25.1075493406574;24.8641091351806;23.8946082161737;23.1406280415433;23.0479795712684;23.4258048067206;23.8308947318239;24.0650956606028;24.4512110574941
1979;24.8476099207363;25.2331653355532;25.513493184474;25.4740331170137;25.1565032887501;24.2079554225651;23.5658339169115;23.4598984437701;23.9081777141781;24.2521195756093;24.4247637226135;24.5879551539587
1980;24.9647576169447;25.2931027174105;25.6000686200396;25.6885482308171;25.0519134745614;24.1488073821237;23.3412289057808;23.3243107532457;23.8635405100367;24.1997913619392;24.1986209493217;24.3990105326035
1981;24.7640505625486;25.4596414596226;25.4363522233135;25.5949158728926;25.02653329377;24.3687793182672;23.2954646120007;23.3302506430861;23.7743228613706;24.406124947487;24.6234701430225;24.828938368356
1982;24.9717767131315;25.4168003675487;25.7836351658975;25.4507722605131;24.9752892946477;23.9548942177155;23.0920206772808;23.0036505140287;23.5561389753118;23.7891499065552;24.1593811205759;24.4942857027694
1983;25.3002820353281;26.0772558809452;26.3314473513661;26.1247868076231;25.4277327013712;24.0825552282215;23.3422571343364;23.2695084880374;23.7514504865811;23.9332032898735;24.2850395426746;24.4740980090003
1984;24.8067641287113;25.4041767274362;25.7545356829477;25.6027753290032;25.2522158011294;24.5404156766928;23.6973419590724;23.8099851241321;24.0891902401424;24.376220284175;24.3472995492297;24.560297992322
1985;24.9795839292216;25.2941866876559;25.666921188082;25.2495729772726;24.9363398194373;24.0737201500295;23.4442300614517;23.4452087373144;23.6288106256025;24.1133632407883;24.4127384200698;24.6082113338653
