Year,Month,Julian_day,Mean
1866,12,6193.5,-0.153485928
1867,1,6224.5,0.579396212
1867,2,6254,0.649125168
1867,3,6283.5,1.005241958
1867,4,6314,1.159972387
1867,5,6344.5,0.732594568
1867,6,6375,0.612893507
1867,7,6405.5,-0.054235933
1867,8,6436.5,0.230698972
1867,9,6467,1.101471232
1867,10,6497.5,-1.631018341
1867,11,6528,-2.782140445
1867,12,6558.5,-2.83556505
1868,1,6589.5,-1.716845906
1868,2,6619.5,-0.705105131
1868,3,6649.5,-1.113638101
1868,4,6680,-0.58558811
1868,5,6710.5,2.284019653
1868,6,6741,1.724307335
1868,7,6771.5,-0.09246246
1868,8,6802.5,0.284138122
1868,9,6833,-0.033176478
1868,10,6863.5,0.343372863
1868,11,6894,-2.566322746
1868,12,6924.5,0.949828645
1869,1,6955.5,-1.59048609
1869,2,6985,1.072576382
1869,3,7014.5,-2.278915551
1869,4,7045,0.044118754
1869,5,7075.5,2.08726864
1869,6,7106,-0.335767791
1869,7,7136.5,-0.189931653
1869,8,7167.5,-0.403206019
1869,9,7198,-0.582825376
1869,10,7228.5,-1.876689671
1869,11,7259,-1.732855572
1869,12,7289.5,-0.640872518
1870,1,7320.5,-2.299666369
1870,2,7350,-1.225387158
1870,3,7379.5,-1.490840285
1870,4,7410,-0.777390664
1870,5,7440.5,1.169340746
1870,6,7471,0.807463494
1870,7,7501.5,1.608057114
1870,8,7532.5,-0.912947115
1870,9,7563,-1.878560768
1870,10,7593.5,-1.033210751
1870,11,7624,0.012430948
1870,12,7654.5,-1.796839048
1871,1,7685.5,-1.093935705
1871,2,7715,-0.950259516
1871,3,7744.5,-0.495702813
1871,4,7775,0.839073648
1871,5,7805.5,-0.460302465
1871,6,7836,-1.569835527
1871,7,7866.5,0.345747966
1871,8,7897.5,-0.770388816
1871,9,7928,0.523438922
1871,10,7958.5,-1.248431065
1871,11,7989,-1.498985771
1871,12,8019.5,-4.243815893
1872,1,8050.5,-0.50336879
1872,2,8080.5,0.166376794
1872,3,8110.5,0.594354218
1872,4,8141,0.509386525
1872,5,8171.5,0.376818228
1872,6,8202,-0.651033163
1872,7,8232.5,0.01317692
1872,8,8263.5,-0.374399545
1872,9,8294,0.443099003
1872,10,8324.5,0.675026004
1872,11,8355,0.377773646
1872,12,8385.5,0.813664255
1873,1,8416.5,1.074215826
1873,2,8446,-0.74926283
1873,3,8475.5,1.334269291
1873,4,8506,-0.219139964
1873,5,8536.5,-0.974834213
1873,6,8567,-0.746873812
1873,7,8597.5,1.361394793
1873,8,8628.5,1.134656556
1873,9,8659,-0.033098882
1873,10,8689.5,0.264328678
1873,11,8720,-1.100906344
1873,12,8750.5,-0.266858689
1874,1,8781.5,-0.832918893
1874,2,8811,-1.571684121
1874,3,8840.5,-1.231226512
1874,4,8871,0.738200893
1874,5,8901.5,-2.030640751
1874,6,8932,0.399524607
1874,7,8962.5,1.159950491
1874,8,8993.5,-0.347882663
1874,9,9024,0.440651444
1874,10,9054.5,0.377643672
1874,11,9085,-1.409305505
1874,12,9115.5,-0.600979965
1875,1,9146.5,-0.142303905
1875,2,9176,-2.597466428
1875,3,9205.5,-2.000268137
1875,4,9236,-1.410498399
1875,5,9266.5,2.115188924
1875,6,9297,0.885422673
1875,7,9327.5,-0.462453862
1875,8,9358.5,0.437591177
1875,9,9389,-0.492152174
1875,10,9419.5,-0.710511219
1875,11,9450,-1.292500289
1875,12,9480.5,-2.472713649
1876,1,9511.5,-1.623442199
1876,2,9541.5,-0.515917451
1876,3,9571.5,0.03294008
1876,4,9602,-0.16484521
1876,5,9632.5,-1.006915592
1876,6,9663,-0.137910627
1876,7,9693.5,-0.123434684
1876,8,9724.5,0.320259087
1876,9,9755,-0.709656147
1876,10,9785.5,0.541907208
1876,11,9816,-1.478129828
1876,12,9846.5,0.988010786
1877,1,9877.5,0.657426132
1877,2,9907,0.172129108
1877,3,9936.5,-1.163568323
1877,4,9967,-0.513975994
1877,5,9997.5,-0.85595083
1877,6,10028,0.935678557
1877,7,10058.5,0.376969017
1877,8,10089.5,1.15483707
1877,9,10120,0.470002616
1877,10,10150.5,-1.681797114
1877,11,10181,0.074051602
1877,12,10211.5,-0.844682292
1878,1,10242.5,-1.598228834
1878,2,10272,-0.557409562
1878,3,10301.5,-0.909532565
1878,4,10332,0.365203751
1878,5,10362.5,0.714807481
1878,6,10393,1.208887581
1878,7,10423.5,-0.278832273
1878,8,10454.5,1.083574905
1878,9,10485,0.301470963
1878,10,10515.5,0.843151308
1878,11,10546,-0.212693201
1878,12,10576.5,-0.728088081
1879,1,10607.5,-0.052882206
1879,2,10637,0.823925611
1879,3,10666.5,0.114211556
1879,4,10697,-0.444532357
1879,5,10727.5,-2.086415255
1879,6,10758,0.41199702
1879,7,10788.5,-0.767355214
1879,8,10819.5,0.857783079
1879,9,10850,0.778765752
1879,10,10880.5,-0.800333877
1879,11,10911,-1.885489422
1879,12,10941.5,-2.397542531
1880,1,10972.5,-2.227946438
1880,2,11002.5,-0.635035747
1880,3,11032.5,-0.355947944
1880,4,11063,0.518724393
1880,5,11093.5,-0.699145294
1880,6,11124,-0.22402083
1880,7,11154.5,1.530757995
1880,8,11185.5,-0.126554394
1880,9,11216,0.147866809
1880,10,11246.5,0.248143031
1880,11,11277,0.534703459
1880,12,11307.5,0.870642437
1881,1,11338.5,0.244173387
1881,2,11368,0.198098745
1881,3,11397.5,0.351158661
1881,4,11428,0.937650673
1881,5,11458.5,-0.536609741
1881,6,11489,-0.429864075
1881,7,11519.5,0.544740743
1881,8,11550.5,0.626562854
1881,9,11581,-0.970514436
1881,10,11611.5,-1.257946994
1881,11,11642,-1.033624585
1881,12,11672.5,-0.199790237
1882,1,11703.5,0.146422955
1882,2,11733,-0.281167335
1882,3,11762.5,1.029164377
1882,4,11793,-0.235212847
1882,5,11823.5,0.196599661
1882,6,11854,0.231267614
1882,7,11884.5,-0.265362452
1882,8,11915.5,-0.788472373
1882,9,11946,-0.615161802
1882,10,11976.5,0.237771079
1882,11,12007,0.045168726
1882,12,12037.5,0.18165092
1883,1,12068.5,-0.016315371
1883,2,12098,-0.043825683
1883,3,12127.5,-1.622565813
1883,4,12158,-0.829440833
1883,5,12188.5,-0.887942584
1883,6,12219,-0.455166186
1883,7,12249.5,-0.302446427
1883,8,12280.5,-0.646901387
1883,9,12311,-0.792235335
1883,10,12341.5,-0.815444133
1883,11,12372,-0.432751376
1883,12,12402.5,-1.151243292
1884,1,12433.5,-0.48732192
1884,2,12463.5,0.28956372
1884,3,12493.5,0.009655254
1884,4,12524,0.069789635
1884,5,12554.5,0.624006158
1884,6,12585,-2.129313216
1884,7,12615.5,-0.196151132
1884,8,12646.5,-0.567757621
1884,9,12677,-0.591193428
1884,10,12707.5,-1.238512172
1884,11,12738,-1.803474086
1884,12,12768.5,-0.318140054
1885,1,12799.5,-0.957466061
1885,2,12829,0.376727324
1885,3,12858.5,0.289638939
1885,4,12889,-0.357872106
1885,5,12919.5,-0.553084736
1885,6,12950,-0.220936176
1885,7,12980.5,0.002529174
1885,8,13011.5,1.188999974
1885,9,13042,-0.352570872
1885,10,13072.5,-0.884374856
1885,11,13103,-0.535444743
1885,12,13133.5,-0.677209948
1886,1,13164.5,-0.50556268
1886,2,13194,-0.656190985
1886,3,13223.5,-0.947196098
1886,4,13254,0.089737525
1886,5,13284.5,-0.23461973
1886,6,13315,-0.921191842
1886,7,13345.5,-0.560011796
1886,8,13376.5,-0.915361021
1886,9,13407,0.579212061
1886,10,13437.5,0.735294591
1886,11,13468,0.195084882
1886,12,13498.5,0.276095253
1887,1,13529.5,-0.720641398
1887,2,13559,-1.33813147
1887,3,13588.5,-0.020602678
1887,4,13619,-0.649613598
1887,5,13649.5,-0.669661109
1887,6,13680,0.007721618
1887,7,13710.5,0.846259049
1887,8,13741.5,0.521987703
1887,9,13772,0.815740961
1887,10,13802.5,-1.902660253
1887,11,13833,-0.770708949
1887,12,13863.5,-0.751458188
